Departamento,Curso,Início,Fim,Modalidade,semestre
DLA,,26/08/2026,,Bolsista,2026.2
DLA,,26/08/2026,,Bolsista,2026.2
DLA,,26/08/2026,,Bolsista,2026.2
DLA,,26/08/2026,,Bolsista,2026.2
DLA,,26/08/2026,,Bolsista,2026.2
DLA,,26/08/2026,,Bolsista,2026.2
DCIS,,26/08/2026,,Bolsista,2026.2
DCIS,,26/08/2026,,Bolsista,2026.2
DCIS,,26/08/2026,,Bolsista,2026.2
DCIS,,26/08/2026,,Bolsista,2026.2
DCIS,,26/08/2026,,Bolsista,2026.2
DCIS,,26/08/2026,,Bolsista,2026.2
DCIS,,26/08/2026,,Bolsista,2026.2
DCIS,,26/08/2026,,Bolsista,2026.2
DCIS,,26/08/2026,,Bolsista,2026.2
DFIS,,26/08/2026,,Bolsista,2026.2
DFIS,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCHF,,26/08/2026,,Bolsista,2026.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em Educação Física,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Licenciatura em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Enfermagem,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Enfermagem,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Odontologia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em Farmácia,26/08/2025,26/11/2025,Bolsista,2025.2
DCBIO,Farmácia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Engenharia de Alimentos,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em Farmácia,26/08/2025,31/12/2025,Bolsista,2025.2
DCBIO,Bacharelado em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em enfermagem,26/08/2025,10/03/2026,Bolsista,2025.2
DCBIO,Enfermagem,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Bacharelado em Ciências Biológicas,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,26/08/2025,25/08/2026,Bolsista,2025.2
DCBIO,Farmácia,08/09/25,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,01/09/25,25/08/2026,Bolsista,2025.2
DCBIO,Agronomia,10/09/25,25/08/2026,Bolsista,2025.2
